URL,Route source,HTTP status,Canonical URL,Page type,Public or private,Indexable or noindex,Included in sitemap,Publisher content present,Content quality,Author identified,Reviewer identified,Source citations present,AdSense eligible after approval,Policy risk,Technical risk,Recommended action,Final action completed
https://www.filingby.com/,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/,Homepage,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/virtual-space,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/virtual-space,Service Directory,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/locations,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/locations,Directory Hub,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/ecommerce-office,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/ecommerce-office,Service Landing,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/about-us,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/about-us,Trust Page,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/our-promise,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/our-promise,Trust Page,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/customer-care,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/customer-care,Support Page,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/contact-us,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/contact-us,Contact Page,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/faq,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/faq,FAQ Hub,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/get-live-quote,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/get-live-quote,Interactive Tool,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/blog,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/blog,Knowledge Hub,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,Yes,Low,Low,Keep and index,Completed
https://www.filingby.com/blog/*,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/blog/*,Blog Article,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,Yes,Low,Low,Keep and index,Completed
https://www.filingby.com/services/*,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/services/*,Service Catalog,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/services/pan-card,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/services/pan-card,Service Page,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/gst-calculator,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/gst-calculator,Calculator,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/income-tax-calculator,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/income-tax-calculator,Calculator,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/roc-tools,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/roc-tools,Tool Hub,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/company-registration-guides,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/company-registration-guides,Guide Hub,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/trademark-search,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/trademark-search,Search Guide,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/legal-templates,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/legal-templates,Template Hub,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/virtual-office-*,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/virtual-office-*,Geo Landing,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/partner-onboarding,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/partner-onboarding,Form Page,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/terms-conditions,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/terms-conditions,Legal Policy,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/default/refund,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/default/refund,Legal Policy,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/default/privacy-policy,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/default/privacy-policy,Legal Policy,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/default/cookie-policy,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/default/cookie-policy,Legal Policy,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/default/disclaimer,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/default/disclaimer,Legal Policy,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/default/editorial-policy,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/default/editorial-policy,Legal Policy,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/default/corrections-policy,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/default/corrections-policy,Legal Policy,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
https://www.filingby.com/editorial-team,FRONTEND/src/routes/AppRoutes.jsx,200,https://www.filingby.com/editorial-team,Team Page,Public,Indexable,Yes,Yes,High,FilingBy Editorial Desk,FilingBy Content Team,Yes,No,Low,Low,Keep and index,Completed
